Country name,Region,happy,upperwhisker,lowerwhisker,GDP_capita_logged,Social_support,Life_expectancy,Freedom,Generosity,Coruption,Dystopia + residual,Region_2,Europe,Middle_East,Australia,South_America,North_America,Asia,Africa,cluster
Mali,Sub-Saharan Africa,4.232,4.347,4.117,0.747,0.688,0.267,0.586,0.12,0.09,1.734,Africa,0,0,0,0,0,0,1,0
Tunisia,Middle East and North Africa,4.422,4.505,4.338,1.306,0.955,0.579,0.254,0.024,0.018,1.285,Africa,0,0,0,0,0,0,1,0
South Africa,Sub-Saharan Africa,5.422,5.549,5.295,1.389,1.369,0.322,0.537,0.078,0.034,1.693,Africa,0,0,0,0,0,0,1,0
Madagascar,Sub-Saharan Africa,4.228,4.359,4.097,0.628,0.823,0.333,0.25,0.172,0.123,1.897,Africa,0,0,0,0,0,0,1,0
Togo,Sub-Saharan Africa,4.214,4.33,4.098,0.758,0.586,0.32,0.453,0.127,0.156,1.814,Africa,0,0,0,0,0,0,1,0
Lesotho,Sub-Saharan Africa,3.186,3.469,2.904,0.771,0.851,0.0,0.523,0.082,0.085,0.875,Africa,0,0,0,0,0,0,1,0
Morocco,Middle East and North Africa,4.795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082,1.861,Africa,0,0,0,0,0,0,1,0
Nigeria,Sub-Saharan Africa,4.881,5.018,4.744,1.042,1.075,0.256,0.566,0.201,0.019,1.722,Africa,0,0,0,0,0,0,1,0
Ivory Coast,Sub-Saharan Africa,5.08,5.224,4.936,1.08,0.578,0.288,0.547,0.12,0.164,2.303,Africa,0,0,0,0,0,0,1,0
Zimbabwe,Sub-Saharan Africa,3.341,3.457,3.226,0.748,0.85,0.232,0.487,0.096,0.131,0.797,Africa,0,0,0,0,0,0,1,0
Eswatini,Sub-Saharan Africa,3.502,3.673,3.331,1.255,0.925,0.176,0.284,0.059,0.116,0.686,Africa,0,0,0,0,0,0,1,0
Sierra Leone,Sub-Saharan Africa,3.245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,1.068,Africa,0,0,0,0,0,0,1,0
Mauritius,Sub-Saharan Africa,5.816,5.927,5.706,1.57,1.358,0.49,0.641,0.123,0.118,1.517,Africa,0,0,0,0,0,0,1,1
Guinea,Sub-Saharan Africa,5.023,5.166,4.881,0.831,0.622,0.236,0.521,0.21,0.107,2.497,Africa,0,0,0,0,0,0,1,0
Cameroon,Sub-Saharan Africa,4.874,4.996,4.753,0.943,0.856,0.288,0.521,0.126,0.06,2.08,Africa,0,0,0,0,0,0,1,0
Uganda,Sub-Saharan Africa,4.372,4.501,4.243,0.772,1.151,0.373,0.587,0.178,0.054,1.256,Africa,0,0,0,0,0,0,1,0
Malawi,Sub-Saharan Africa,3.421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136,1.203,Africa,0,0,0,0,0,0,1,0
Algeria,Middle East and North Africa,5.364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2,1.743,Africa,0,0,0,0,0,0,1,0
Kenya,Sub-Saharan Africa,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,1.316,Africa,0,0,0,0,0,0,1,0
Gabon,Sub-Saharan Africa,5.106,5.243,4.969,1.403,1.038,0.344,0.516,0.045,0.1,1.66,Africa,0,0,0,0,0,0,1,0
Zambia,Sub-Saharan Africa,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,0.526,Africa,0,0,0,0,0,0,1,0
Gambia,Sub-Saharan Africa,4.485,4.625,4.344,0.75,0.684,0.33,0.459,0.324,0.048,1.89,Africa,0,0,0,0,0,0,1,0
Senegal,Sub-Saharan Africa,4.969,5.096,4.841,0.927,0.751,0.392,0.607,0.152,0.069,2.071,Africa,0,0,0,0,0,0,1,0
Benin,Sub-Saharan Africa,4.377,4.51,4.245,0.914,0.128,0.284,0.567,0.112,0.252,2.121,Africa,0,0,0,0,0,0,1,0
Tanzania,Sub-Saharan Africa,3.781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,0.717,Africa,0,0,0,0,0,0,1,0
Mauritania,Sub-Saharan Africa,4.505,4.673,4.337,1.078,0.705,0.4,0.343,0.133,0.198,1.649,Africa,0,0,0,0,0,0,1,0
Libya,Middle East and North Africa,5.866,5.987,5.746,1.526,1.1,0.55,0.592,0.111,0.204,1.785,Africa,0,0,0,0,0,0,1,1
Chad,Sub-Saharan Africa,4.471,4.63,4.313,0.603,0.805,0.199,0.411,0.218,0.113,2.122,Africa,0,0,0,0,0,0,1,0
Ethiopia,Sub-Saharan Africa,3.861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101,0.923,Africa,0,0,0,0,0,0,1,0
Niger,Sub-Saharan Africa,4.556,4.712,4.401,0.573,0.677,0.293,0.615,0.145,0.147,2.107,Africa,0,0,0,0,0,0,1,0
Botswana,Sub-Saharan Africa,3.383,3.558,3.209,1.445,0.969,0.241,0.567,0.014,0.082,0.066,Africa,0,0,0,0,0,0,1,0
Congo (Kinshasa),Sub-Saharan Africa,3.295,3.462,3.128,0.534,0.665,0.262,0.473,0.189,0.072,1.102,Africa,0,0,0,0,0,0,1,0
